timestamp,event,instId,side,price,sz,dip_pct,pnl,pnl_pct,detail
2026-08-10 23:32:18,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004508,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 01:51:47,CLOSED,SHIB-USDT-SWAP,LONG,0.000004502,8.4,0,-2.2745,-5.67,total_buys=0
2026-08-11 01:51:51,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004502,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 05:43:32,CLOSED,SHIB-USDT-SWAP,LONG,0.00000452,8.4,0,-2.1233,-5.30,total_buys=0
2026-08-11 05:43:36,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.00000452,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 07:57:32,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004498,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 07:57:40,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004499,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:01:35,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004502,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:01:44,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004502,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:06:30,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004503,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:06:39,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004502,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:44:14,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004496,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:44:24,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004496,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:47:30,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004497,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:47:39,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004497,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:55:31,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004503,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
2026-08-11 08:55:38,TRAIL_TP_PLACED,SHIB-USDT-SWAP,SELL,0.000004503,8.4,0,0,0,gap=0.5% | activate>=0.00000492 (zhdjom rosta)
