2025-09-01 11:56:12 🔄 Новый цикл бота. Баланс: 1000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 0.716461543119296$ | PnL: 1.79527151 💵 | Сделок: 21 | WinRate: 52.38%
🔄 Новый цикл бота. Баланс: 27.4402465577716$ | PnL: 8.72374342 💵 | Сделок: 40 | WinRate: 75%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.24021900500339$ | PnL: 9.67034448 💵 | Сделок: 43 | WinRate: 76.74%
🔄 Новый цикл бота. Баланс: 8.48139801628188$ | PnL: 9.92052368 💵 | Сделок: 44 | WinRate: 77.27%
🔄 Новый цикл бота. Баланс: 8.48139801628188$ | PnL: 9.92052368 💵 | Сделок: 44 | WinRate: 77.27%
